-,-,-
53, -160, 1046
83, -195, 968
37, -90, 952
14, -38, 947
35, -42, 972
35, -42, 972
70, -19, 1002
58, 110, 1004
73, 268, 1088
49, 480, 1196
49, 480, 1196
-2, 650, 1172
101, 511, 1021
193, 352, 948
186, 465, 949
215, 404, 952
208, 186, 816
208, 186, 816
232, -41, 819
158, -162, 904
152, -137, 906
46, 4, 803
46, 4, 803
-114, -293, 927
-301, -368, 1164
-374, -407, 1275
-475, -410, 1081
-610, -509, 1100
-642, -416, 1035
-602, -249, 1075
-628, -120, 1016
-626, -60, 1064
-589, 62, 1017
-505, 120, 977
-420, -31, 1079
-397, -48, 1100
-311, -16, 943
-151, 52, 836
-151, 52, 836
-18, 26, 864
116, -45, 935
209, -93, 962
280, -33, 925
300, -18, 949
300, -18, 949
411, -93, 1067
478, -211, 1094
525, -238, 1127
590, -259, 1029
551, -370, 1133
543, -481, 1161
464, -539, 1183
363, -622, 1136
338, -629, 1127
291, -571, 1060
258, -545, 1067
240, -474, 1032
240, -474, 998
166, -336, 998
48, -301, 1073
40, -252, 1051
81, -172, 1003
121, -83, 895
115, -22, 851
68, 143, 824
68, 143, 824
39, 151, 894
54, 179, 906
203, 200, 933
183, 158, 980
183, 158, 980
207, 151, 976
255, 172, 935
295, 211, 878
358, 197, 961
409, 111, 972
409, 111, 972
447, 13, 989
496, -9, 1013
443, 38, 995
425, 80, 952
425, 80, 952
385, 47, 943
365, -25, 963
355, -34, 1018
295, -1, 1085
179, 80, 1075
179, 80, 1075
60, 108, 931
-75, 59, 997
-169, 66, 1114
-230, 89, 1110
-283, 30, 1084
-283, 30, 1084
-352, 1, 1048
-448, 48, 1027
-496, 58, 1099
-,-,-
110, -3, 965
184, 16, 990
184, -5, 969
184, -5, 969
213, -56, 1074
176, -117, 1077
287, -15, 1143
539, 113, 1196
590, 125, 1123
541, 201, 1001
520, 281, 917
520, 281, 917
396, 314, 836
254, 293, 826
359, 145, 1026
310, 0, 777
310, 0, 777
106, 13, 722
-2, -22, 900
-93, -332, 970
-231, -513, 985
-449, -385, 915
-520, -131, 1093
-546, -113, 1188
-627, -121, 1222
-667, -34, 1181
-667, -34, 1181
-606, 210, 1057
-509, 381, 1071
-472, 477, 1012
-472, 505, 941
-473, 490, 967
-429, 394, 936
-301, 355, 923
-172, 228, 892
-137, 126, 894
-47, 40, 972
-47, 40, 972
74, -171, 1015
120, -336, 998
202, -241, 965
208, -285, 1040
268, -471, 1135
371, -469, 1157
363, -527, 1041
303, -551, 1117
176, -604, 1152
111, -656, 1125
111, -656, 1125
39, -727, 1122
-89, -731, 1117
